sales_agent,product,account,deal_stage,engage_date,close_date,close_value
Markita Hansen,GTX Basic,Sonron,Won,5/31/2017,9/23/2017,510
Markita Hansen,MG Advanced,Zoomit,Won,5/31/2017,9/23/2017,3722
Maureen Marcano,GTX Plus Basic,Finjob,Won,5/31/2017,8/2/2017,1145
Moses Frase,MG Special,Streethex,Won,5/31/2017,8/27/2017,53
Reed Clapper,GTX Plus Basic,Kan-code,Won,5/31/2017,6/15/2017,1120
Reed Clapper,MG Advanced,Initech,Won,5/31/2017,9/22/2017,3404
Versie Hillebrand,MG Advanced,Zumgoity,Lost,5/31/2017,6/8/2017,0
Versie Hillebrand,MG Special,Ron-tech,Won,5/31/2017,6/13/2017,46
Wilburn Farren,MG Special,The New York Inquirer,Won,5/31/2017,6/14/2017,53
Zane Levy,GTX Basic,Singletechno,Lost,5/31/2017,8/20/2017,0
Zane Levy,GTXPro,Condax,Won,5/31/2017,6/5/2017,4988
Zane Levy,MG Special,Rantouch,Won,5/31/2017,8/12/2017,53
Anna Snelling,GTX Basic,Isdom,Won,6/1/2017,6/8/2017,523
Anna Snelling,MG Special,Hottechi,Won,6/1/2017,6/11/2017,63
Anna Snelling,MG Special,Stanredtax,Won,6/1/2017,8/28/2017,54
Boris Faz,GTX Plus Pro,Yearin,Won,6/1/2017,9/7/2017,6117
Cassey Cress,GTX Plus Pro,Ontomedia,Won,6/1/2017,6/9/2017,5112
Corliss Cosme,MG Advanced,Kan-code,Won,6/1/2017,9/3/2017,3527
Darcel Schlecht,GTX Plus Pro,Konmatfix,Lost,6/1/2017,6/11/2017,0
Darcel Schlecht,MG Special,Finhigh,Lost,6/1/2017,8/24/2017,0
Darcel Schlecht,MG Advanced,Warephase,Lost,6/1/2017,8/7/2017,0
Darcel Schlecht,GTX Basic,Inity,Won,6/1/2017,6/14/2017,565
Darcel Schlecht,MG Advanced,Ron-tech,Won,6/1/2017,6/9/2017,3771
Elease Gluck,MG Advanced,Fasehatice,Lost,6/1/2017,8/9/2017,0
Gladys Colclough,GTX Plus Pro,Scottech,Won,6/1/2017,9/2/2017,6274
Hayden Neloms,MG Advanced,Plexzap,Lost,6/1/2017,8/3/2017,0
Hayden Neloms,MG Advanced,Sunnamplex,Won,6/1/2017,8/17/2017,3480
James Ascencio,GTX Plus Pro,Fasehatice,Won,6/1/2017,8/16/2017,5770
Kary Hendrixson,MG Advanced,Hottechi,Lost,6/1/2017,9/12/2017,0
Lajuana Vencill,GTX Plus Pro,Statholdings,Lost,6/1/2017,8/29/2017,0
Moses Frase,GTX Basic,Rangreen,Lost,6/1/2017,8/1/2017,0
Niesha Huffines,GTX Basic,Domzoom,Lost,6/1/2017,9/21/2017,0
Niesha Huffines,GTX Basic,Ron-tech,Lost,6/1/2017,9/25/2017,0
Reed Clapper,GTX Basic,Konex,Won,6/1/2017,6/12/2017,562
Rosie Papadopoulos,GTXPro,Mathtouch,Won,6/1/2017,8/3/2017,4686
Vicki Laflamme,MG Advanced,Newex,Lost,6/1/2017,8/22/2017,0
Violet Mclelland,MG Special,Opentech,Won,6/1/2017,9/2/2017,38
Zane Levy,MG Advanced,Finjob,Won,6/1/2017,8/5/2017,3184
Anna Snelling,GTX Plus Pro,Rundofase,Won,6/2/2017,9/17/2017,5373
Boris Faz,GTX Plus Basic,Bluth Company,Won,6/2/2017,9/5/2017,1239
Cecily Lampkin,MG Advanced,Isdom,Lost,6/2/2017,6/18/2017,0
Cecily Lampkin,MG Special,Streethex,Won,6/2/2017,6/12/2017,52
Corliss Cosme,GTX Basic,Ganjaflex,Won,6/2/2017,9/19/2017,651
Darcel Schlecht,GTX Plus Pro,dambase,Won,6/2/2017,8/2/2017,6026
James Ascencio,GTX Plus Pro,Green-Plus,Won,6/2/2017,9/5/2017,5569
Jonathan Berthelot,GTX Basic,Dontechi,Lost,6/2/2017,8/25/2017,0
Jonathan Berthelot,GTX Basic,Hottechi,Won,6/2/2017,9/4/2017,519
Kami Bicknell,GTX Basic,Scotfind,Won,6/2/2017,9/5/2017,558
Kary Hendrixson,GTX Basic,Sonron,Won,6/2/2017,9/5/2017,523
Kary Hendrixson,GTXPro,Scotfind,Won,6/2/2017,8/20/2017,4869
Lajuana Vencill,MG Special,Funholding,Lost,6/2/2017,8/2/2017,0
Lajuana Vencill,GTX Basic,Stanredtax,Won,6/2/2017,8/9/2017,588
Marty Freudenburg,GTX Plus Pro,Condax,Won,6/2/2017,8/21/2017,5712
Maureen Marcano,GTX Plus Basic,Golddex,Won,6/2/2017,8/29/2017,1046
Maureen Marcano,MG Special,Singletechno,Won,6/2/2017,8/17/2017,54
Reed Clapper,GTXPro,Xx-zobam,Won,6/2/2017,8/12/2017,4933
Reed Clapper,MG Special,Umbrella Corporation,Won,6/2/2017,9/26/2017,60
Violet Mclelland,GTX Basic,Silis,Won,6/2/2017,9/12/2017,572
Violet Mclelland,MG Special,Condax,Won,6/2/2017,8/30/2017,55
Violet Mclelland,MG Special,Xx-zobam,Won,6/2/2017,8/22/2017,51
Cassey Cress,GTX Plus Pro,Vehement Capital Partners,Lost,6/3/2017,8/24/2017,0
Cassey Cress,MG Special,Opentech,Won,6/3/2017,8/31/2017,59
Daniell Hammack,GTXPro,Betasoloin,Won,6/3/2017,6/6/2017,4492
Darcel Schlecht,GTX Basic,Treequote,Lost,6/3/2017,8/3/2017,0
Darcel Schlecht,GTXPro,Codehow,Lost,6/3/2017,8/29/2017,0
Donn Cantrell,MG Advanced,Zathunicon,Lost,6/3/2017,8/27/2017,0
James Ascencio,GTX Basic,Plexzap,Lost,6/3/2017,8/12/2017,0
James Ascencio,GTXPro,Fasehatice,Lost,6/3/2017,8/6/2017,0
Jonathan Berthelot,GTX Basic,Treequote,Won,6/3/2017,6/22/2017,639
Jonathan Berthelot,GTX Plus Basic,Globex Corporation,Won,6/3/2017,6/21/2017,1040
Jonathan Berthelot,GTXPro,Finhigh,Won,6/3/2017,9/12/2017,4138
Kami Bicknell,GTX Plus Basic,Plexzap,Lost,6/3/2017,8/7/2017,0
Lajuana Vencill,MG Special,Funholding,Won,6/3/2017,9/23/2017,54
Lajuana Vencill,MG Advanced,Inity,Won,6/3/2017,9/14/2017,3438
Markita Hansen,GTXPro,Finjob,Lost,6/3/2017,8/5/2017,0
Marty Freudenburg,GTX Plus Basic,Isdom,Won,6/3/2017,8/5/2017,1017
Rosalina Dieter,MG Advanced,Singletechno,Won,6/3/2017,9/19/2017,3314
Versie Hillebrand,MG Special,Cancity,Lost,6/3/2017,8/12/2017,0
Versie Hillebrand,MG Special,Rangreen,Won,6/3/2017,8/24/2017,51
Vicki Laflamme,MG Special,Kan-code,Won,6/3/2017,9/10/2017,50
Violet Mclelland,MG Special,Zathunicon,Won,6/3/2017,6/9/2017,54
Anna Snelling,GTX Plus Pro,Scottech,Lost,6/4/2017,8/18/2017,0
Anna Snelling,MG Advanced,Rangreen,Lost,6/4/2017,9/16/2017,0
Boris Faz,GTXPro,Condax,Lost,6/4/2017,9/5/2017,0
Cecily Lampkin,GTX Plus Basic,Hottechi,Lost,6/4/2017,8/16/2017,0
Daniell Hammack,GTXPro,Ontomedia,Won,6/4/2017,6/17/2017,4942
Donn Cantrell,MG Special,Initech,Lost,6/4/2017,8/6/2017,0
Donn Cantrell,GTXPro,Kan-code,Won,6/4/2017,6/14/2017,4612
Donn Cantrell,GTXPro,Zotware,Won,6/4/2017,6/20/2017,4308
Donn Cantrell,MG Advanced,Massive Dynamic,Won,6/4/2017,9/4/2017,2876
Gladys Colclough,GTX Plus Pro,Warephase,Won,6/4/2017,8/30/2017,4990
Hayden Neloms,GTX Plus Basic,Scotfind,Lost,6/4/2017,9/29/2017,0
Hayden Neloms,GTX Plus Basic,Sonron,Won,6/4/2017,9/9/2017,1024
Kami Bicknell,MG Special,Lexiqvolax,Won,6/4/2017,9/16/2017,53
Kary Hendrixson,GTX Plus Basic,Singletechno,Lost,6/4/2017,9/17/2017,0
Kary Hendrixson,GTX Basic,J-Texon,Won,6/4/2017,9/1/2017,525
Kary Hendrixson,MG Special,Nam-zim,Won,6/4/2017,8/27/2017,60
Markita Hansen,GTX Plus Basic,Scotfind,Won,6/4/2017,6/8/2017,967
Maureen Marcano,GTX Basic,Rantouch,Lost,6/4/2017,8/14/2017,0
Reed Clapper,GTX Basic,Initech,Won,6/4/2017,6/14/2017,524
Rosalina Dieter,MG Special,J-Texon,Won,6/4/2017,9/10/2017,57
Rosie Papadopoulos,MG Advanced,Bubba Gump,Lost,6/4/2017,6/20/2017,0
Versie Hillebrand,GTX Plus Pro,Warephase,Won,6/4/2017,6/13/2017,5056
Vicki Laflamme,GTX Basic,Konex,Won,6/4/2017,6/8/2017,600
Cassey Cress,GTX Basic,Donware,Won,6/5/2017,9/26/2017,633
Cassey Cress,GTXPro,Vehement Capital Partners,Won,6/5/2017,8/27/2017,4994
Corliss Cosme,GTX Plus Basic,Kan-code,Won,6/5/2017,6/10/2017,899
Darcel Schlecht,GTXPro,Scottech,Lost,6/5/2017,8/6/2017,0
Darcel Schlecht,GTX Plus Pro,dambase,Won,6/5/2017,8/25/2017,5421
Darcel Schlecht,GTXPro,Genco Pura Olive Oil Company,Won,6/5/2017,8/23/2017,5223
Darcel Schlecht,GTXPro,Rundofase,Won,6/5/2017,6/18/2017,4794
Darcel Schlecht,GTXPro,Toughzap,Won,6/5/2017,9/6/2017,4903
Darcel Schlecht,MG Advanced,Dontechi,Won,6/5/2017,8/13/2017,3625
Gladys Colclough,GTX Basic,Globex Corporation,Lost,6/5/2017,8/28/2017,0
Jonathan Berthelot,GTX Basic,Rundofase,Won,6/5/2017,8/3/2017,554
Kami Bicknell,GTX Basic,Singletechno,Lost,6/5/2017,9/3/2017,0
Kami Bicknell,GTX Basic,Sunnamplex,Lost,6/5/2017,6/11/2017,0
Kary Hendrixson,GTXPro,Hatfan,Won,6/5/2017,9/5/2017,5039
Markita Hansen,GTX Plus Basic,Faxquote,Won,6/5/2017,8/30/2017,1169
Marty Freudenburg,GTXPro,Toughzap,Won,6/5/2017,9/19/2017,5055
Marty Freudenburg,MG Special,Scottech,Won,6/5/2017,6/22/2017,60
Maureen Marcano,GTX Plus Basic,Condax,Lost,6/5/2017,8/27/2017,0
Maureen Marcano,GTX Basic,Golddex,Won,6/5/2017,9/8/2017,595
Maureen Marcano,MG Advanced,Plexzap,Won,6/5/2017,6/21/2017,3227
Moses Frase,GTX Plus Basic,Konmatfix,Lost,6/5/2017,6/11/2017,0
Moses Frase,GTX Plus Basic,Ron-tech,Lost,6/5/2017,8/14/2017,0
Moses Frase,MG Special,Hottechi,Won,6/5/2017,9/20/2017,59
Niesha Huffines,GTX Basic,Inity,Won,6/5/2017,9/26/2017,479
Niesha Huffines,MG Advanced,Globex Corporation,Won,6/5/2017,9/14/2017,3449
Reed Clapper,MG Special,Massive Dynamic,Won,6/5/2017,9/24/2017,54
Vicki Laflamme,MG Advanced,Hatfan,Lost,6/5/2017,8/14/2017,0
Vicki Laflamme,MG Special,Doncon,Won,6/5/2017,9/1/2017,59
Violet Mclelland,MG Special,Acme Corporation,Lost,6/5/2017,8/1/2017,0
Zane Levy,GTX Basic,Finjob,Lost,6/5/2017,9/27/2017,0
Anna Snelling,MG Special,Streethex,Won,6/6/2017,9/27/2017,55
Cassey Cress,MG Advanced,Initech,Won,6/6/2017,8/9/2017,3042
Corliss Cosme,GTXPro,Ganjaflex,Won,6/6/2017,8/11/2017,4230
Daniell Hammack,GTX Plus Basic,Initech,Won,6/6/2017,8/15/2017,979
Daniell Hammack,GTX Plus Basic,Zotware,Won,6/6/2017,6/17/2017,1064
Daniell Hammack,GTXPro,Xx-zobam,Won,6/6/2017,8/20/2017,5166
Donn Cantrell,GTX Plus Basic,Bioplex,Won,6/6/2017,8/23/2017,1036
Elease Gluck,GTXPro,Hottechi,Won,6/6/2017,8/6/2017,4330
Gladys Colclough,MG Advanced,Hottechi,Won,6/6/2017,9/13/2017,3598
James Ascencio,GTX Basic,Goodsilron,Won,6/6/2017,8/16/2017,431
Jonathan Berthelot,GTX Plus Basic,Funholding,Lost,6/6/2017,8/28/2017,0
Jonathan Berthelot,GTX Basic,Funholding,Won,6/6/2017,6/17/2017,624
Jonathan Berthelot,GTX Plus Basic,Finhigh,Won,6/6/2017,6/11/2017,1140
Kami Bicknell,MG Special,Condax,Won,6/6/2017,9/17/2017,62
Kary Hendrixson,GTX Basic,Fasehatice,Lost,6/6/2017,8/1/2017,0
Lajuana Vencill,GTX Basic,Streethex,Won,6/6/2017,9/15/2017,584
Markita Hansen,MG Special,Lexiqvolax,Lost,6/6/2017,9/9/2017,0
Markita Hansen,MG Special,Goodsilron,Won,6/6/2017,8/19/2017,57
Niesha Huffines,GTX Plus Basic,Statholdings,Won,6/6/2017,8/5/2017,1267
Reed Clapper,GTXPro,Umbrella Corporation,Lost,6/6/2017,6/11/2017,0
Vicki Laflamme,MG Special,Plusstrip,Won,6/6/2017,9/16/2017,55
Violet Mclelland,MG Special,Opentech,Won,6/6/2017,9/10/2017,63
Wilburn Farren,GTXPro,Donquadtech,Won,6/6/2017,9/5/2017,3961
Wilburn Farren,MG Special,Zathunicon,Won,6/6/2017,8/26/2017,45
Anna Snelling,MG Special,Warephase,Won,6/7/2017,8/20/2017,61
Cassey Cress,MG Advanced,Bubba Gump,Lost,6/7/2017,9/8/2017,0
Darcel Schlecht,GTX Plus Basic,Isdom,Won,6/7/2017,8/31/2017,1114
Garret Kinder,GTX Basic,Kan-code,Won,6/7/2017,8/5/2017,566
Gladys Colclough,MG Advanced,dambase,Lost,6/7/2017,8/20/2017,0
Hayden Neloms,MG Special,Green-Plus,Won,6/7/2017,6/21/2017,56
Jonathan Berthelot,GTX Basic,Ron-tech,Won,6/7/2017,6/18/2017,627
Markita Hansen,GTX Plus Basic,Dalttechnology,Won,6/7/2017,8/16/2017,1101
Markita Hansen,MG Advanced,Hottechi,Won,6/7/2017,9/17/2017,2979
Marty Freudenburg,MG Advanced,Isdom,Lost,6/7/2017,9/4/2017,0
Reed Clapper,GTXPro,Gekko & Co,Lost,6/7/2017,8/5/2017,0
Versie Hillebrand,MG Advanced,Warephase,Won,6/7/2017,6/17/2017,3662
Zane Levy,GTXPro,Dalttechnology,Lost,6/7/2017,8/22/2017,0
Zane Levy,GTXPro,Nam-zim,Won,6/7/2017,8/17/2017,5185
Boris Faz,MG Advanced,Umbrella Corporation,Won,6/8/2017,6/24/2017,3681
Cecily Lampkin,MG Special,Dontechi,Won,6/8/2017,6/18/2017,59
Cecily Lampkin,MG Special,Finhigh,Won,6/8/2017,9/13/2017,60
Corliss Cosme,GTX Basic,Bluth Company,Won,6/8/2017,8/5/2017,602
Corliss Cosme,GTX Basic,Xx-zobam,Won,6/8/2017,8/12/2017,515
Darcel Schlecht,GTXPro,Streethex,Lost,6/8/2017,8/25/2017,0
Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,6/8/2017,6/21/2017,5175
Donn Cantrell,GTXPro,Acme Corporation,Lost,6/8/2017,8/27/2017,0
Donn Cantrell,GTXPro,Plussunin,Won,6/8/2017,8/28/2017,4780
Jonathan Berthelot,GTX Plus Basic,Globex Corporation,Lost,6/8/2017,8/11/2017,0
Jonathan Berthelot,GTX Basic,Globex Corporation,Won,6/8/2017,6/16/2017,614
Jonathan Berthelot,GTX Basic,Rangreen,Won,6/8/2017,9/13/2017,532
Jonathan Berthelot,GTX Plus Pro,Finhigh,Won,6/8/2017,8/27/2017,6096
Kary Hendrixson,GTX Basic,Hottechi,Won,6/8/2017,8/17/2017,486
Lajuana Vencill,GTX Basic,Funholding,Won,6/8/2017,8/17/2017,566
Markita Hansen,MG Special,Singletechno,Lost,6/8/2017,6/22/2017,0
Markita Hansen,GTX Plus Basic,Green-Plus,Won,6/8/2017,6/16/2017,923
Markita Hansen,GTXPro,Hottechi,Won,6/8/2017,9/30/2017,4744
Marty Freudenburg,GTX Basic,Warephase,Won,6/8/2017,8/19/2017,517
Marty Freudenburg,GTX Plus Basic,Zumgoity,Won,6/8/2017,6/14/2017,881
Marty Freudenburg,GTXPro,Gogozoom,Won,6/8/2017,6/24/2017,4272
Maureen Marcano,GTXPro,Finjob,Lost,6/8/2017,8/26/2017,0
Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,6/8/2017,9/2/2017,805
Versie Hillebrand,MG Special,Funholding,Lost,6/8/2017,8/18/2017,0
Versie Hillebrand,MG Special,Codehow,Won,6/8/2017,9/13/2017,55
Vicki Laflamme,GTX Basic,Sunnamplex,Won,6/8/2017,6/15/2017,507
Zane Levy,GTX Basic,Finjob,Won,6/8/2017,9/8/2017,520
Anna Snelling,MG Advanced,Isdom,Won,6/9/2017,8/15/2017,3470
Boris Faz,GTXPro,Vehement Capital Partners,Lost,6/9/2017,8/14/2017,0
Cassey Cress,GTX Plus Basic,Zotware,Won,6/9/2017,8/22/2017,1176
Darcel Schlecht,GTX Plus Basic,Treequote,Lost,6/9/2017,8/26/2017,0
Donn Cantrell,GTXPro,Zotware,Won,6/9/2017,8/2/2017,4517
James Ascencio,GTX Plus Pro,Rantouch,Won,6/9/2017,8/16/2017,5125
Kami Bicknell,GTXPro,Kan-code,Won,6/9/2017,6/19/2017,5339
Kary Hendrixson,GTXPro,Plusstrip,Lost,6/9/2017,8/19/2017,0
Markita Hansen,GTX Plus Basic,Condax,Won,6/9/2017,6/26/2017,1135
Maureen Marcano,MG Special,Kan-code,Won,6/9/2017,9/5/2017,52
Moses Frase,GTX Plus Basic,Bioholding,Won,6/9/2017,8/4/2017,1017
Moses Frase,MG Advanced,Codehow,Won,6/9/2017,6/27/2017,3681
Niesha Huffines,GTX Plus Basic,Rundofase,Lost,6/9/2017,8/4/2017,0
Reed Clapper,GTXPro,Mathtouch,Won,6/9/2017,9/22/2017,4370
Cassey Cress,MG Advanced,Iselectrics,Won,6/10/2017,6/14/2017,3772
Cassey Cress,MG Advanced,Sumace,Won,6/10/2017,6/28/2017,2871
Cecily Lampkin,GTX Plus Pro,Cancity,Won,6/10/2017,8/4/2017,4749
Corliss Cosme,MG Special,Ganjaflex,Lost,6/10/2017,8/27/2017,0
Darcel Schlecht,GTX Plus Basic,Ron-tech,Won,6/10/2017,8/26/2017,1075
Donn Cantrell,GTX Plus Pro,Kinnamplus,Won,6/10/2017,9/21/2017,5051
Jonathan Berthelot,GTX Plus Basic,Isdom,Won,6/10/2017,6/17/2017,834
Kami Bicknell,MG Special,Green-Plus,Lost,6/10/2017,8/7/2017,0
Marty Freudenburg,MG Advanced,Toughzap,Lost,6/10/2017,9/19/2017,0
Marty Freudenburg,MG Special,Rangreen,Won,6/10/2017,6/19/2017,54
Niesha Huffines,GTX Basic,Streethex,Lost,6/10/2017,9/7/2017,0
Niesha Huffines,GTX Basic,Domzoom,Won,6/10/2017,6/21/2017,527
Niesha Huffines,MG Advanced,Globex Corporation,Won,6/10/2017,6/12/2017,2724
Reed Clapper,GTX Plus Pro,Betasoloin,Lost,6/10/2017,6/21/2017,0
Reed Clapper,GTX Basic,Kinnamplus,Won,6/10/2017,9/5/2017,551
Vicki Laflamme,GTX Plus Basic,Plusstrip,Won,6/10/2017,6/21/2017,1118
Vicki Laflamme,GTX Plus Pro,Dalttechnology,Won,6/10/2017,8/23/2017,6094
Wilburn Farren,MG Special,Gekko & Co,Lost,6/10/2017,8/22/2017,0
Zane Levy,GTX Basic,Nam-zim,Won,6/10/2017,8/6/2017,556
Anna Snelling,GTX Basic,Globex Corporation,Lost,6/11/2017,9/16/2017,0
Anna Snelling,MG Special,Rangreen,Won,6/11/2017,9/13/2017,49
Cassey Cress,GTX Plus Basic,Silis,Lost,6/11/2017,9/11/2017,0
Cecily Lampkin,GTX Plus Basic,Streethex,Won,6/11/2017,9/25/2017,1001
Corliss Cosme,MG Advanced,The New York Inquirer,Won,6/11/2017,9/16/2017,3777
Daniell Hammack,GTX Plus Basic,Initech,Won,6/11/2017,8/17/2017,892
Daniell Hammack,GTX Plus Pro,Iselectrics,Won,6/11/2017,6/19/2017,5353
Darcel Schlecht,GTXPro,Betatech,Won,6/11/2017,6/24/2017,4410
Darcel Schlecht,MG Advanced,Konmatfix,Won,6/11/2017,9/3/2017,3768
Donn Cantrell,GTX Basic,Bluth Company,Lost,6/11/2017,8/29/2017,0
James Ascencio,GTX Basic,J-Texon,Won,6/11/2017,8/10/2017,507
Jonathan Berthelot,GTX Plus Basic,Zumgoity,Won,6/11/2017,9/20/2017,1144
Kary Hendrixson,MG Special,Cheers,Won,6/11/2017,9/22/2017,44
Lajuana Vencill,MG Advanced,Treequote,Won,6/11/2017,6/27/2017,3470
Markita Hansen,GTK 500,Cheers,Won,6/11/2017,9/26/2017,29166
Markita Hansen,GTX Plus Basic,Kan-code,Won,6/11/2017,8/10/2017,1045
Maureen Marcano,GTX Plus Basic,Fasehatice,Won,6/11/2017,9/12/2017,951
Versie Hillebrand,MG Special,Stanredtax,Won,6/11/2017,8/20/2017,43
Versie Hillebrand,MG Special,Zumgoity,Won,6/11/2017,6/15/2017,55
Cassey Cress,GTXPro,Kan-code,Won,6/12/2017,8/17/2017,4294
Cecily Lampkin,GTX Plus Pro,Streethex,Won,6/12/2017,8/29/2017,4961
Corliss Cosme,GTX Basic,Iselectrics,Lost,6/12/2017,8/18/2017,0
Daniell Hammack,GTXPro,Ontomedia,Won,6/12/2017,9/23/2017,4506
Donn Cantrell,GTXPro,Zencorporation,Lost,6/12/2017,6/26/2017,0
Elease Gluck,GTX Basic,Singletechno,Won,6/12/2017,8/22/2017,608
Garret Kinder,GTX Plus Basic,Zathunicon,Won,6/12/2017,9/20/2017,851
Gladys Colclough,GTX Plus Basic,Inity,Won,6/12/2017,9/20/2017,1143
Gladys Colclough,GTX Plus Pro,Globex Corporation,Won,6/12/2017,6/25/2017,6365
Hayden Neloms,MG Special,Fasehatice,Won,6/12/2017,8/21/2017,54
Kary Hendrixson,GTX Basic,Sunnamplex,Lost,6/12/2017,8/14/2017,0
Kary Hendrixson,GTXPro,Sonron,Won,6/12/2017,6/29/2017,4798
Markita Hansen,MG Special,Doncon,Lost,6/12/2017,8/29/2017,0
Markita Hansen,GTXPro,Fasehatice,Won,6/12/2017,6/25/2017,4733
Maureen Marcano,GTX Plus Basic,Cheers,Won,6/12/2017,8/29/2017,1250
Maureen Marcano,GTX Plus Pro,Faxquote,Won,6/12/2017,9/1/2017,5966
Niesha Huffines,MG Special,Domzoom,Won,6/12/2017,9/10/2017,61
Vicki Laflamme,MG Special,Scotfind,Won,6/12/2017,9/20/2017,48
Violet Mclelland,MG Special,Zathunicon,Won,6/12/2017,9/21/2017,53
Zane Levy,MG Special,Cheers,Lost,6/12/2017,6/20/2017,0
Zane Levy,MG Special,Doncon,Won,6/12/2017,8/18/2017,51
Zane Levy,MG Advanced,Cheers,Won,6/12/2017,9/4/2017,3314
Anna Snelling,MG Advanced,Treequote,Lost,6/13/2017,8/20/2017,0
Anna Snelling,MG Special,Genco Pura Olive Oil Company,Won,6/13/2017,9/25/2017,64
Anna Snelling,MG Special,Isdom,Won,6/13/2017,6/24/2017,58
Cassey Cress,GTX Plus Basic,Mathtouch,Lost,6/13/2017,8/22/2017,0
Cassey Cress,GTX Plus Pro,Massive Dynamic,Won,6/13/2017,8/4/2017,4598
Cassey Cress,MG Advanced,Mathtouch,Won,6/13/2017,6/19/2017,3424
Cassey Cress,MG Advanced,Umbrella Corporation,Won,6/13/2017,9/30/2017,3399
Daniell Hammack,GTX Plus Basic,Betasoloin,Lost,6/13/2017,9/7/2017,0
Darcel Schlecht,GTX Basic,Konmatfix,Lost,6/13/2017,9/4/2017,0
Darcel Schlecht,GTX Plus Pro,Betatech,Lost,6/13/2017,8/16/2017,0
Darcel Schlecht,GTXPro,Treequote,Won,6/13/2017,9/10/2017,5322
Donn Cantrell,GTX Basic,Donquadtech,Won,6/13/2017,8/28/2017,496
Garret Kinder,MG Advanced,Bubba Gump,Won,6/13/2017,8/27/2017,3279
Gladys Colclough,MG Special,Scottech,Lost,6/13/2017,9/28/2017,0
James Ascencio,MG Special,Scotfind,Won,6/13/2017,6/27/2017,68
Jonathan Berthelot,GTX Basic,Treequote,Lost,6/13/2017,8/23/2017,0
Niesha Huffines,GTX Plus Basic,Funholding,Lost,6/13/2017,8/21/2017,0
Versie Hillebrand,MG Special,Bioholding,Won,6/13/2017,6/15/2017,59
Vicki Laflamme,MG Advanced,Fasehatice,Won,6/13/2017,6/26/2017,3205
Wilburn Farren,GTX Basic,Mathtouch,Lost,6/13/2017,6/27/2017,0
Anna Snelling,MG Special,Globex Corporation,Won,6/14/2017,6/23/2017,55
Cassey Cress,GTX Basic,Bubba Gump,Lost,6/14/2017,9/17/2017,0
Corliss Cosme,GTX Basic,Ganjaflex,Won,6/14/2017,9/2/2017,525
Darcel Schlecht,MG Advanced,Isdom,Won,6/14/2017,8/25/2017,3455
Elease Gluck,MG Advanced,Faxquote,Won,6/14/2017,6/25/2017,3110
Garret Kinder,MG Special,Kinnamplus,Lost,6/14/2017,6/27/2017,0
Hayden Neloms,GTX Plus Pro,Scotfind,Won,6/14/2017,9/11/2017,5053
Hayden Neloms,MG Advanced,Groovestreet,Won,6/14/2017,6/28/2017,3539
Jonathan Berthelot,GTX Basic,Rundofase,Won,6/14/2017,8/23/2017,580
Kami Bicknell,MG Advanced,Rantouch,Lost,6/14/2017,6/20/2017,0
Lajuana Vencill,MG Advanced,Warephase,Won,6/14/2017,6/17/2017,3468
Niesha Huffines,MG Special,Ron-tech,Won,6/14/2017,9/19/2017,54
Reed Clapper,MG Advanced,Bluth Company,Lost,6/14/2017,6/27/2017,0
Versie Hillebrand,MG Special,Scottech,Lost,6/14/2017,8/11/2017,0
Violet Mclelland,MG Special,Gekko & Co,Lost,6/14/2017,8/20/2017,0
Boris Faz,GTX Plus Pro,Zotware,Won,6/15/2017,6/28/2017,6040
Cassey Cress,GTXPro,The New York Inquirer,Won,6/15/2017,9/1/2017,5857
Cecily Lampkin,MG Advanced,dambase,Won,6/15/2017,6/25/2017,3785
Corliss Cosme,GTX Plus Basic,Zathunicon,Lost,6/15/2017,9/19/2017,0
Daniell Hammack,GTX Basic,Initech,Won,6/15/2017,6/26/2017,420
Daniell Hammack,GTXPro,Xx-zobam,Won,6/15/2017,6/20/2017,4939
Darcel Schlecht,GTXPro,Scottech,Won,6/15/2017,6/30/2017,4564
Darcel Schlecht,MG Advanced,Rangreen,Won,6/15/2017,9/9/2017,2683
Elease Gluck,GTK 500,Cheers,Won,6/15/2017,6/30/2017,25464
Jonathan Berthelot,GTX Basic,Hottechi,Won,6/15/2017,9/9/2017,460
Jonathan Berthelot,GTX Basic,Rundofase,Won,6/15/2017,6/28/2017,546
Jonathan Berthelot,GTX Plus Basic,Conecom,Won,6/15/2017,9/25/2017,918
Lajuana Vencill,MG Advanced,Domzoom,Lost,6/15/2017,6/29/2017,0
Lajuana Vencill,MG Advanced,Toughzap,Won,6/15/2017,8/2/2017,3018
Markita Hansen,MG Special,Sonron,Won,6/15/2017,8/24/2017,52
Reed Clapper,MG Special,Bioplex,Won,6/15/2017,8/4/2017,50
Rosie Papadopoulos,GTX Basic,Xx-zobam,Won,6/15/2017,9/13/2017,524
Rosie Papadopoulos,MG Advanced,Xx-zobam,Won,6/15/2017,6/29/2017,3306
Vicki Laflamme,MG Special,Hatfan,Won,6/15/2017,6/22/2017,54
Vicki Laflamme,MG Special,Hottechi,Won,6/15/2017,6/28/2017,53
Wilburn Farren,GTX Basic,Zencorporation,Won,6/15/2017,8/29/2017,514
Daniell Hammack,GTX Plus Basic,Konex,Won,6/16/2017,6/25/2017,985
Darcel Schlecht,GTXPro,Conecom,Won,6/16/2017,8/11/2017,5843
